filter_num,layer,filter_num_by_layer,prune_score,class
122,3,5,0.14103814959526062,frog
123,3,6,0.1027236133813858,frog
124,3,7,0.10500623285770416,frog
125,3,8,0.033253155648708344,frog
126,3,9,0.0452374666929245,frog
127,3,10,0.15276724100112915,frog
128,3,11,0.10818740725517273,frog
129,3,12,0.012615295127034187,frog
130,3,13,0.09986092150211334,frog
131,3,14,0.039945587515830994,frog
132,3,15,0.04826813191175461,frog
133,3,16,0.07376286387443542,frog
134,3,17,0.09659978747367859,frog
135,3,18,0.2188703864812851,frog
136,3,19,0.0351802222430706,frog
137,3,20,0.29649046063423157,frog
138,3,21,0.045052800327539444,frog
139,3,22,0.009856005199253559,frog
140,3,23,0.014043218456208706,frog
141,3,24,0.05863715708255768,frog
142,3,25,0.1654415726661682,frog
143,3,26,0.05883312597870827,frog
144,3,27,0.1932641714811325,frog
145,3,28,0.1872759908437729,frog
146,3,29,0.042171623557806015,frog
147,3,30,0.0018784466665238142,frog
148,3,31,0.083556167781353,frog
149,3,32,0.2725663483142853,frog
150,3,33,0.057258863002061844,frog
151,3,34,0.13026659190654755,frog
152,3,35,0.036181848496198654,frog
153,3,36,0.130088672041893,frog
154,3,37,0.09120980650186539,frog
155,3,38,0.05017988011240959,frog
156,3,39,0.04473606497049332,frog
157,3,40,0.12536221742630005,frog
158,3,41,0.1419476568698883,frog
159,3,42,0.024796929210424423,frog
160,3,43,0.5830698609352112,frog
161,3,44,0.004238877445459366,frog
162,3,45,0.1097913384437561,frog
163,3,46,0.19598737359046936,frog
0,0,0,0.2750391662120819,horse
1,0,1,0.01226777397096157,horse
2,0,2,0.1051749587059021,horse
3,0,3,0.011949592269957066,horse
4,0,4,0.037895794957876205,horse
5,0,5,0.008159627206623554,horse
6,0,6,0.00048604756011627614,horse
7,0,7,0.051769714802503586,horse
8,0,8,0.05651788413524628,horse
9,0,9,0.19189617037773132,horse
10,0,10,0.035657331347465515,horse
11,0,11,0.09867136925458908,horse
12,0,12,0.03978760540485382,horse
13,0,13,0.21568065881729126,horse
14,0,14,0.09210091829299927,horse
15,0,15,0.03163947910070419,horse
16,0,16,0.196853905916214,horse
17,0,17,0.10723571479320526,horse
18,0,18,0.610365629196167,horse
19,0,19,0.20948821306228638,horse
20,0,20,0.053351208567619324,horse
21,0,21,0.007779902312904596,horse
22,0,22,0.05729169398546219,horse
23,0,23,0.10282797366380692,horse
24,0,24,0.24912787973880768,horse
25,0,25,0.03119361586868763,horse
26,0,26,0.06953456252813339,horse
27,0,27,0.02260284312069416,horse
28,0,28,0.12845927476882935,horse
29,0,29,0.00025649776216596365,horse
30,0,30,0.07934264838695526,horse
31,0,31,0.22451210021972656,horse
32,0,32,0.09791393578052521,horse
33,0,33,0.14522723853588104,horse
34,0,34,0.019065789878368378,horse
35,0,35,0.03051905147731304,horse
36,0,36,0.16241958737373352,horse
37,0,37,0.1796843409538269,horse
38,0,38,0.12134046852588654,horse
39,0,39,0.14651887118816376,horse
40,0,40,0.045891936868429184,horse
41,0,41,0.10684192925691605,horse
42,0,42,0.036539603024721146,horse
43,0,43,0.18184149265289307,horse
