filter_num,layer,filter_num_by_layer,prune_score,class
124,3,10,3.370553895365447e-05,5
125,3,11,0.00035907680285163224,5
126,3,12,0.00021688206470571458,5
127,3,13,0.10680243372917175,5
128,3,14,0.00014967237075325102,5
129,3,15,0.013408222235739231,5
130,3,16,7.30575411580503e-05,5
131,3,17,0.00034846170456148684,5
132,3,18,0.005738480947911739,5
133,3,19,2.4985395086218887e-08,5
134,3,20,0.17316748201847076,5
135,3,21,0.0021306690759956837,5
136,3,22,0.0002124733291566372,5
137,3,23,0.18892383575439453,5
138,3,24,0.44558483362197876,5
139,3,25,0.002017203252762556,5
140,3,26,0.0006745482096448541,5
141,3,27,0.28466033935546875,5
142,3,28,0.0024983908515423536,5
143,3,29,0.0019512830767780542,5
144,3,30,0.00023277259606402367,5
145,3,31,0.054335422813892365,5
146,3,32,0.08555465191602707,5
147,3,33,0.0026008777786046267,5
148,3,34,0.24379317462444305,5
149,3,35,0.16145426034927368,5
150,3,36,0.0005152363446541131,5
151,3,37,0.005031927954405546,5
152,3,38,0.01376417651772499,5
153,3,39,5.2767994930036366e-05,5
154,3,40,0.0,5
155,3,41,0.17026390135288239,5
156,3,42,0.24826212227344513,5
157,3,43,0.0002210795064456761,5
158,3,44,0.002374043455347419,5
159,3,45,0.1674456149339676,5
160,3,46,0.06004565581679344,5
161,3,47,0.2860911786556244,5
162,3,48,0.004256504587829113,5
163,3,49,0.0442192368209362,5
164,3,50,0.0004255950334481895,5
165,3,51,0.014778352342545986,5
166,3,52,0.00025087478570640087,5
167,3,53,0.13834555447101593,5
168,3,54,0.10176299512386322,5
169,3,55,0.02854323573410511,5
170,3,56,0.00407024472951889,5
171,3,57,8.806375990388915e-05,5
172,3,58,0.11491429805755615,5
173,3,59,0.16913379728794098,5
174,3,60,0.16986937820911407,5
175,3,61,4.199468094157055e-06,5
176,3,62,0.003902674885466695,5
177,3,63,0.21288293600082397,5
178,3,64,0.1200244203209877,5
179,3,65,0.16131556034088135,5
0,0,0,0.1411845088005066,t
1,0,1,0.008379289880394936,t
2,0,2,0.09510485827922821,t
3,0,3,0.07912493497133255,t
4,0,4,0.06702189892530441,t
5,0,5,0.3100994825363159,t
6,0,6,0.030571062117815018,t
7,0,7,0.0020268450025469065,t
8,0,8,0.04209421947598457,t
9,0,9,0.08420965820550919,t
10,0,10,0.001590774510987103,t
11,0,11,0.0305783711373806,t
12,0,12,0.07850895076990128,t
13,0,13,0.005723574664443731,t
14,0,14,0.10355194658041,t
15,0,15,0.05410172790288925,t
16,0,16,0.010904980823397636,t
17,0,17,0.17963771522045135,t
18,0,18,0.15371264517307281,t
19,0,19,0.04396998509764671,t
20,0,20,0.1340130716562271,t
21,0,21,0.27071458101272583,t
22,0,22,0.08482962101697922,t
23,0,23,0.07461484521627426,t
24,0,24,0.022723881527781487,t
25,0,25,0.009967752732336521,t
26,0,26,0.07838717103004456,t
27,0,27,0.24766992032527924,t
28,0,28,0.07993683964014053,t
29,0,29,0.0038404478691518307,t
30,0,30,0.0936487466096878,t
31,0,31,0.046160392463207245,t
32,0,32,0.009942138567566872,t
33,0,33,0.4041139483451843,t
34,0,34,0.005073344334959984,t
35,0,35,0.00585620803758502,t
36,0,36,0.09606627374887466,t
37,0,37,0.18215829133987427,t
38,0,38,0.17479650676250458,t
39,0,39,0.06470494717359543,t
40,0,40,0.04844168201088905,t
41,0,41,0.01690133474767208,t
42,0,42,0.13896609842777252,t
43,0,43,0.033560119569301605,t
44,0,44,0.030281702056527138,t
45,0,45,0.060342755168676376,t
46,0,46,0.03762336075305939,t
47,0,47,0.52262943983078,t
48,0,48,0.20418857038021088,t
49,0,49,0.03987644612789154,t
50,1,0,0.25941529870033264,t
51,1,1,0.0010948159033432603,t
52,1,2,0.30454400181770325,t
53,1,3,0.024301480501890182,t
54,1,4,0.09331885725259781,t
55,1,5,0.01985897682607174,t
56,1,6,0.21470429003238678,t
57,1,7,0.09377169609069824,t
58,1,8,0.18396349251270294,t
59,1,9,0.7190712094306946,t
60,1,10,0.3628096878528595,t
61,1,11,0.1018528938293457,t
62,1,12,0.06498744338750839,t
63,1,13,0.10167373716831207,t
64,1,14,0.2601328492164612,t
65,1,15,0.015175865031778812,t
66,2,0,0.007643744349479675,t
67,2,1,0.20648030936717987,t
68,2,2,0.1132194846868515,t
69,2,3,0.013960317708551884,t
70,2,4,0.09078284353017807,t
71,2,5,0.05690491944551468,t
72,2,6,0.03775547072291374,t
73,2,7,0.05157238617539406,t
74,2,8,0.06001352146267891,t
75,2,9,0.15230736136436462,t
76,2,10,0.04502963274717331,t
77,2,11,0.018907800316810608,t
78,2,12,0.012621876783668995,t
79,2,13,0.00016275256348308176,t
80,2,14,0.003397727617993951,t
81,2,15,0.021053675562143326,t
82,2,16,0.0773252621293068,t
83,2,17,0.07933002710342407,t
84,2,18,0.17651839554309845,t
85,2,19,0.07783769816160202,t
86,2,20,0.2505553960800171,t
87,2,21,0.1118486225605011,t
88,2,22,0.003050836268812418,t
89,2,23,0.023763209581375122,t
90,2,24,0.5605246424674988,t
91,2,25,0.10669474303722382,t
92,2,26,0.222976416349411,t
93,2,27,0.0016885887598618865,t
